Date, Open, High, Low, Close, Volume
09/04/25, 238.45, 239.90, 236.74, 239.78, 46084300
09/03/25, 237.21, 238.85, 234.36, 238.47, 66427844
09/02/25, 229.25, 230.85, 226.97, 229.72, 44075641
08/29/25, 232.51, 233.38, 231.37, 232.14, 39418441
08/28/25, 230.82, 233.41, 229.335, 232.56, 38074699
08/27/25, 228.61, 230.90, 228.26, 230.49, 31259510
08/26/25, 226.87, 229.49, 224.69, 229.31, 54575113
08/25/25, 226.48, 229.30, 226.23, 227.16, 30983131
08/22/25, 226.17, 229.09, 225.41, 227.76, 42477809
08/21/25, 226.27, 226.52, 223.7804, 224.90, 30621250
08/20/25, 229.98, 230.47, 225.77, 226.01, 42263871
08/19/25, 231.275, 232.87, 229.35, 230.56, 39402559
08/18/25, 231.70, 233.12, 230.11, 230.89, 37476191
08/15/25, 234.00, 234.28, 229.335, 231.59, 56038660
08/14/25, 234.055, 235.12, 230.85, 232.78, 51916281
08/13/25, 231.07, 235.00, 230.43, 233.33, 69878555
08/12/25, 228.005, 230.80, 227.07, 229.65, 55672301
08/11/25, 227.92, 229.56, 224.76, 227.18, 61806129
08/08/25, 220.83, 231.00, 219.25, 229.35, 113854000
08/07/25, 218.875, 220.85, 216.58, 220.03, 90224828
08/06/25, 205.63, 215.38, 205.59, 213.25, 108483102
08/05/25, 203.40, 205.34, 202.16, 202.92, 44155078
08/04/25, 204.505, 207.88, 201.675, 203.35, 75109297
08/01/25, 210.865, 213.58, 201.50, 202.38, 104434492
07/31/25, 208.49, 209.84, 207.16, 207.57, 80698430
07/30/25, 211.895, 212.39, 207.72, 209.05, 45512512
07/29/25, 214.175, 214.81, 210.82, 211.27, 51411719
07/28/25, 214.03, 214.845, 213.06, 214.05, 37858020
07/25/25, 214.70, 215.24, 213.40, 213.88, 40268781
07/24/25, 213.90, 215.69, 213.53, 213.76, 46022621
07/23/25, 215.00, 215.15, 212.41, 214.15, 46989301
07/22/25, 213.14, 214.95, 212.2301, 214.40, 46404070
07/21/25, 212.10, 215.78, 211.63, 212.48, 51377434
07/18/25, 210.87, 211.79, 209.7045, 211.18, 48974594
07/17/25, 210.57, 211.80, 209.59, 210.02, 48068141
07/16/25, 210.295, 212.40, 208.64, 210.16, 47490527
07/15/25, 209.22, 211.89, 208.92, 209.11, 42296340
07/14/25, 209.925, 210.91, 207.54, 208.62, 38840113
07/11/25, 210.565, 212.13, 209.86, 211.16, 39765809
07/10/25, 210.505, 213.48, 210.03, 212.41, 44443641
07/09/25, 209.53, 211.33, 207.22, 211.14, 48749367
07/08/25, 210.10, 211.43, 208.45, 210.01, 42848930
07/07/25, 212.68, 216.23, 208.80, 209.95, 50228980
07/03/25, 212.145, 214.65, 211.8101, 213.55, 34955840
07/02/25, 208.91, 213.34, 208.14, 212.44, 67941805
07/01/25, 206.665, 210.1865, 206.1401, 207.82, 78788875
06/30/25, 202.01, 207.39, 199.2607, 205.17, 91912812
06/27/25, 201.89, 203.22, 200.00, 201.08, 73188570
06/26/25, 201.43, 202.64, 199.46, 201.00, 50799121
06/25/25, 201.45, 203.67, 200.6201, 201.56, 39525727
06/24/25, 202.59, 203.44, 200.20, 200.30, 54064031
