Date, Open, High, Low, Close, Volume
09/04/25, 231.185, 235.77, 230.78, 235.68, 59062500
09/03/25, 225.21, 227.1699, 224.36, 225.99, 29223131
09/02/25, 223.52, 226.17, 221.83, 225.34, 38843879
08/29/25, 231.32, 231.8125, 228.16, 229.00, 26199170
08/28/25, 229.005, 232.71, 228.02, 231.60, 33679594
08/27/25, 228.57, 229.87, 227.81, 229.12, 21254480
08/26/25, 227.11, 229.00, 226.02, 228.71, 26105369
08/25/25, 227.35, 229.60, 227.31, 227.94, 22633699
08/22/25, 222.79, 229.14, 220.82, 228.84, 37315340
08/21/25, 222.65, 222.78, 220.50, 221.95, 32140461
08/20/25, 227.12, 227.27, 220.915, 223.81, 36604320
08/19/25, 230.09, 230.5283, 227.12, 228.01, 29891010
08/18/25, 230.225, 231.91, 228.33, 231.49, 25248891
08/15/25, 232.58, 234.08, 229.807, 231.03, 39649238
08/14/25, 227.40, 233.11, 227.02, 230.98, 61545820
08/13/25, 222.00, 224.9185, 222.00, 224.56, 36508340
08/12/25, 222.23, 223.50, 219.05, 221.47, 37254711
08/11/25, 221.78, 223.05, 220.40, 221.30, 31646221
08/08/25, 223.14, 223.80, 221.8836, 222.69, 32970480
08/07/25, 221.00, 226.22, 220.82, 223.13, 40603512
08/06/25, 214.695, 222.65, 213.7409, 222.31, 54823047
08/05/25, 213.05, 216.30, 212.87, 213.75, 51505121
08/04/25, 217.40, 217.44, 211.42, 211.65, 77890148
08/01/25, 217.21, 220.4399, 212.80, 214.75, 122258797
07/31/25, 235.77, 236.53, 231.40, 234.11, 104357297
07/30/25, 231.64, 231.80, 229.29, 230.19, 32993270
07/29/25, 234.15, 234.72, 230.31, 231.01, 33716219
07/28/25, 233.35, 234.29, 232.25, 232.79, 26300141
07/25/25, 232.22, 232.48, 231.18, 231.44, 28712100
07/24/25, 229.17, 236.00, 228.64, 232.23, 42902273
07/23/25, 228.47, 228.79, 227.09, 228.29, 28294850
07/22/25, 229.68, 230.00, 226.35, 227.47, 37483699
07/21/25, 225.835, 229.69, 225.65, 229.30, 40297559
07/18/25, 225.14, 226.40, 222.98, 226.13, 37833809
07/17/25, 223.32, 224.50, 222.51, 223.88, 31855830
07/16/25, 225.875, 226.10, 222.18, 223.19, 39535930
