Date, Open, High, Low, Close, Volume
09/04/25, 229.65, 232.37, 226.11, 232.30, 49886700
09/03/25, 226.21, 231.31, 224.79, 230.66, 103336094
09/02/25, 208.44, 211.675, 206.195, 211.35, 47523039
08/29/25, 210.51, 214.645, 210.20, 212.91, 39728359
08/28/25, 207.25, 212.22, 206.90, 211.64, 32339311
08/27/25, 205.70, 208.91, 205.65, 207.48, 23022850
08/26/25, 207.51, 207.85, 205.70, 207.14, 28464131
08/25/25, 206.43, 210.52, 205.28, 208.49, 29928881
08/22/25, 202.73, 208.54, 201.30, 206.09, 42827039
08/21/25, 199.745, 202.48, 199.43, 199.75, 19774631
08/20/25, 200.73, 201.28, 196.595, 199.32, 28955500
08/19/25, 203.03, 203.44, 199.96, 201.57, 24240230
08/18/25, 204.20, 205.265, 202.49, 203.50, 18526590
08/15/25, 203.85, 206.44, 201.28, 203.90, 34931422
08/14/25, 201.50, 204.44, 201.225, 202.94, 25230430
08/13/25, 204.13, 204.53, 197.5101, 201.96, 28342920
08/12/25, 201.365, 204.50, 200.59, 203.34, 30424449
08/11/25, 200.935, 201.475, 199.07, 201.00, 25832439
08/08/25, 197.22, 202.61, 197.17, 201.42, 39161832
08/07/25, 197.06, 197.54, 194.33, 196.52, 26321811
08/06/25, 194.50, 196.63, 193.67, 196.09, 21562910
08/05/25, 194.71, 197.8599, 193.885, 194.67, 31602340
08/04/25, 190.29, 195.27, 190.12, 195.04, 31547350
08/01/25, 189.025, 190.83, 187.82, 189.13, 34832180
07/31/25, 195.71, 195.99, 191.09, 191.90, 51329160
07/30/25, 195.60, 197.5999, 194.685, 196.53, 32445410
07/29/25, 192.43, 195.92, 192.08, 195.75, 41389152
07/28/25, 193.65, 194.05, 190.84, 192.58, 38139500
07/25/25, 191.98, 194.33, 191.26, 193.18, 39785859
07/24/25, 197.03, 197.95, 191.00, 192.17, 74881688
07/23/25, 191.50, 192.53, 189.18, 190.23, 58681953
07/22/25, 191.495, 191.645, 187.46, 191.34, 44660219
07/21/25, 186.25, 190.285, 186.15, 190.10, 45803129
07/18/25, 185.40, 186.42, 183.71, 185.06, 34014512
07/17/25, 182.14, 184.06, 180.48, 183.58, 31992570
07/16/25, 183.235, 184.327, 182.03, 182.97, 33104191
07/15/25, 182.81, 184.22, 181.60, 182.00, 33448250
07/14/25, 181.01, 183.67, 179.68, 181.56, 32536631
07/11/25, 176.785, 181.43, 176.48, 180.19, 34282922
07/10/25, 175.63, 178.429, 174.38, 177.62, 29252391
07/09/25, 175.25, 179.44, 172.77, 176.62, 43025594
07/08/25, 177.85, 177.95, 172.81, 174.36, 40442539
