Date, Open, High, Low, Close, Volume
09/04/25, 504.30, 508.15, 503.15, 507.97, 15434000
09/03/25, 503.79, 507.79, 502.32, 505.35, 16345080
09/02/25, 500.465, 506.00, 496.81, 505.12, 18128000
08/29/25, 508.66, 509.60, 504.4915, 506.69, 20961570
08/28/25, 507.09, 511.09, 505.50, 509.64, 18015590
08/27/25, 502.00, 507.29, 499.90, 506.74, 17277891
08/26/25, 504.355, 504.9778, 498.51, 502.04, 30835711
08/25/25, 506.63, 508.19, 504.12, 504.26, 21638580
08/22/25, 504.25, 510.73, 502.41, 507.23, 24324160
08/21/25, 503.69, 507.63, 502.7201, 504.24, 18443250
08/20/25, 509.865, 511.00, 504.44, 505.72, 27723029
08/19/25, 515.00, 515.1641, 508.55, 509.77, 21481020
08/18/25, 521.585, 522.82, 514.02, 517.10, 23760580
08/15/25, 522.77, 526.10, 519.08, 520.17, 25213270
08/14/25, 522.56, 525.9499, 520.14, 522.48, 20269070
08/13/25, 532.11, 532.70, 519.37, 520.58, 19619160
08/12/25, 523.75, 530.98, 522.70, 529.24, 18688920
08/11/25, 522.30, 527.59, 519.72, 521.77, 20194369
08/08/25, 522.60, 524.66, 519.41, 522.04, 15531010
08/07/25, 526.80, 528.09, 517.5511, 520.84, 16079140
08/06/25, 530.90, 531.70, 524.03, 524.94, 21355699
08/05/25, 537.18, 537.30, 527.24, 527.75, 19171570
08/04/25, 528.27, 538.25, 528.13, 535.64, 25349000
08/01/25, 535.00, 535.80, 520.86, 524.11, 28977631
07/31/25, 555.225, 555.45, 531.90, 533.50, 51617328
07/30/25, 515.17, 515.95, 509.435, 513.24, 26380430
07/29/25, 515.53, 517.62, 511.56, 512.57, 16469240
07/28/25, 514.08, 515.00, 510.12, 512.50, 14308030
07/25/25, 512.465, 518.29, 510.3592, 513.71, 19125699
07/24/25, 508.77, 513.67, 507.30, 510.88, 16107000
07/23/25, 506.75, 506.79, 500.70, 505.87, 16396590
07/22/25, 510.97, 511.20, 505.27, 505.27, 13868640
07/21/25, 506.705, 512.09, 505.55, 510.06, 14066810
07/18/25, 514.48, 514.64, 507.43, 510.05, 21209670
07/17/25, 505.68, 513.37, 505.62, 511.70, 17503131
07/16/25, 505.18, 506.72, 501.89, 505.62, 15154370
07/15/25, 503.02, 508.30, 502.79, 505.82, 14927200
07/14/25, 501.515, 503.97, 501.03, 503.02, 12058850
07/11/25, 498.47, 505.03, 497.795, 503.32, 16459510
07/10/25, 503.05, 504.44, 497.75, 501.48, 16498740
07/09/25, 500.30, 506.78, 499.74, 503.51, 18659539
07/08/25, 497.24, 498.20, 494.11, 496.62, 11846590
07/07/25, 497.38, 498.75, 495.225, 497.72, 13981610
